"station_id","is_renting","is_returning","num_docks_available","num_docks_disabled","num_bikes_available","num_bikes_disabled","num_ebikes_available","last_updated"
"101",1,1,21,0,9,1,0,2022-12-04 20:25:01
"102",1,1,16,0,7,0,1,2022-12-04 20:25:01
"103",1,1,24,0,15,0,0,2022-12-04 20:25:01
"104",1,1,9,0,16,0,0,2022-12-04 20:25:01
"105",1,1,2,0,22,0,0,2022-12-04 20:25:01
"101",1,1,21,0,9,1,0,2022-12-04 20:26:01
"102",1,1,16,0,7,0,1,2022-12-04 20:26:01
"103",1,1,24,0,15,0,0,2022-12-04 20:26:01
"104",1,1,9,0,16,0,0,2022-12-04 20:26:01
"105",1,1,2,0,22,0,0,2022-12-04 20:26:01
"101",1,1,21,0,9,1,0,2022-12-04 20:27:02
"102",1,1,16,0,7,0,1,2022-12-04 20:27:02
"103",1,1,24,0,15,0,0,2022-12-04 20:27:02
"104",1,1,9,0,16,0,0,2022-12-04 20:27:02
"105",1,1,2,0,22,0,0,2022-12-04 20:27:02
"101",1,1,21,0,9,1,0,2022-12-04 20:28:04
"102",1,1,16,0,7,0,1,2022-12-04 20:28:04
"103",1,1,24,0,15,0,0,2022-12-04 20:28:04
"104",1,1,9,0,16,0,0,2022-12-04 20:28:04
"105",1,1,2,0,22,0,0,2022-12-04 20:28:04
"101",1,1,21,0,9,1,0,2022-12-04 20:29:02
"102",1,1,16,0,7,0,1,2022-12-04 20:29:02
"103",1,1,24,0,15,0,0,2022-12-04 20:29:02
"104",1,1,9,0,16,0,0,2022-12-04 20:29:02
"105",1,1,2,0,22,0,0,2022-12-04 20:29:02
"101",1,1,21,0,9,1,0,2022-12-04 20:30:01
"102",1,1,16,0,7,0,1,2022-12-04 20:30:01
"103",1,1,24,0,15,0,0,2022-12-04 20:30:01
"104",1,1,9,0,16,0,0,2022-12-04 20:30:01
"105",1,1,2,0,22,0,0,2022-12-04 20:30:01
"101",1,1,21,0,9,1,0,2022-12-04 20:31:03
"102",1,1,16,0,7,0,1,2022-12-04 20:31:03
"103",1,1,24,0,15,0,0,2022-12-04 20:31:03
"104",1,1,9,0,16,0,0,2022-12-04 20:31:03
"105",1,1,3,0,21,0,0,2022-12-04 20:31:03
"101",1,1,21,0,9,1,0,2022-12-04 20:32:06
"102",1,1,16,0,7,0,1,2022-12-04 20:32:06
"103",1,1,24,0,15,0,0,2022-12-04 20:32:06
"104",1,1,9,0,16,0,0,2022-12-04 20:32:06
"105",1,1,4,0,20,0,0,2022-12-04 20:32:06
"101",1,1,21,0,9,1,0,2022-12-04 20:33:07
"102",1,1,16,0,7,0,1,2022-12-04 20:33:07
"103",1,1,24,0,15,0,0,2022-12-04 20:33:07
